Number,Wiki,Language,Language (local),Good,Total,Edits,Admins,Users,Active Users,Files,Stub Ratio,Version,License,Archive,HTTP,ID,mt,Last update
182,nah,Nahuatl,Nāhuatl,7606,20292,518065,3,21513,26,170,0.3748,1.41.0-wmf.4,n/a,archive,200,99,8,2023-04-18 00:03:00 (~ 6 hrs ago)
183,sc,Sardinian,Sardu,7386,16699,179769,4,23188,35,151,0.4423,1.41.0-wmf.4,n/a,archive,200,111,8,2023-04-18 00:03:26 (~ 6 hrs ago)
184,kw,Cornish,Kernewek/Karnuack,7329,15070,210689,2,14593,33,6,0.4863,1.41.0-wmf.4,n/a,archive,200,106,8,2023-04-18 00:03:15 (~ 6 hrs ago)
185,glk,Gilaki,گیلکی,6810,14282,64395,4,15049,16,808,0.4768,1.41.0-wmf.4,n/a,archive,200,261,8,2023-04-18 00:10:02 (~ 5 hrs ago)
186,vep,Vepsian,Vepsän,6798,32790,158750,1,15061,26,0,0.2073,1.41.0-wmf.4,n/a,archive,200,303,8,2023-04-18 00:08:44 (~ 5 hrs ago)
187,kab,Kabyle,Taqbaylit,6693,16345,107779,2,12758,22,0,0.4095,1.41.0-wmf.4,n/a,archive,200,265,8,2023-04-18 00:09:55 (~ 5 hrs ago)
188,tk,Turkmen,تركمن / Туркмен,6678,16329,238899,3,26444,35,336,0.409,1.41.0-wmf.4,n/a,archive,200,203,8,2023-04-18 00:06:23 (~ 5 hrs ago)
189,ary,Moroccan Arabic,اللهجة المغربية,6603,54078,272276,7,8813,48,109,0.1221,1.41.0-wmf.4,n/a,archive,200,334,8,2023-04-18 00:00:14 (~ 6 hrs ago)
190,gan,Gan,贛語,6599,33713,395794,1,39946,27,57,0.1957,1.41.0-wmf.4,n/a,archive,200,275,8,2023-04-18 00:02:44 (~ 6 hrs ago)
191,co,Corsican,Corsu,6533,15197,383925,2,21023,32,0,0.4299,1.41.0-wmf.4,n/a,archive,200,33,8,2023-04-18 00:00:41 (~ 6 hrs ago)
192,dag,Dagbani,Dagbanli,6503,10322,61515,1,2688,33,0,0.63,1.41.0-wmf.4,n/a,archive,200,346,8,2023-04-18 00:11:25 (~ 5 hrs ago)
193,fiu-vro,Võro,Võro,6458,12269,178449,4,13700,27,50,0.5264,1.41.0-wmf.4,n/a,archive,200,162,8,2023-04-18 00:05:04 (~ 6 hrs ago)
194,bo,Tibetan,བོད་སྐད,6409,17977,141133,1,27907,27,0,0.3565,1.41.0-wmf.4,n/a,archive,200,118,8,2023-04-18 00:03:38 (~ 6 hrs ago)
195,ab,Abkhazian,Аҧсуа,6050,21976,125258,2,18802,25,9,0.2753,1.41.0-wmf.4,n/a,archive,200,113,8,2023-04-18 00:03:28 (~ 6 hrs ago)
196,rw,Kinyarwanda,Ikinyarwanda,5934,13240,94925,1,12058,41,0,0.4482,1.41.0-wmf.4,n/a,archive,200,110,8,2023-04-18 00:03:23 (~ 6 hrs ago)
197,gv,Manx,Gaelg,5878,23610,318998,3,19133,19,184,0.249,1.41.0-wmf.4,n/a,archive,200,122,8,2023-04-18 00:03:46 (~ 6 hrs ago)
198,skr,Saraiki,سرائیکی,5711,6360,28472,2,1803,16,0,0.898,1.41.0-wmf.4,n/a,archive,200,339,8,2023-04-18 00:11:04 (~ 5 hrs ago)
199,ug,Uyghur,ئۇيغۇر تىلى,5688,15225,157030,1,20897,29,0,0.3736,1.41.0-wmf.4,n/a,archive,200,208,8,2023-04-18 00:06:33 (~ 5 hrs ago)
200,zea,Zeelandic,Zeêuws,5672,10635,128180,3,12599,18,1,0.5333,1.41.0-wmf.4,n/a,archive,200,255,8,2023-04-18 00:10:14 (~ 5 hrs ago)
201,frp,Franco-Provençal/Arpitan,Arpitan,5670,16074,219094,2,15561,35,0,0.3527,1.41.0-wmf.4,n/a,archive,200,234,8,2023-04-18 00:10:58 (~ 5 hrs ago)
202,udm,Udmurt,Удмурт кыл,5536,18346,123180,3,14451,21,9,0.3018,1.41.0-wmf.4,n/a,archive,200,207,8,2023-04-18 00:06:31 (~ 5 hrs ago)
203,pcd,Picard,Picard,5520,10715,69676,3,16639,21,50,0.5152,1.41.0-wmf.4,n/a,archive,200,288,8,2023-04-18 00:09:13 (~ 5 hrs ago)
204,kv,Komi,Коми,5502,17296,141584,1,13836,23,0,0.3181,1.41.0-wmf.4,n/a,archive,200,177,8,2023-04-18 00:05:33 (~ 6 hrs ago)
205,csb,Kashubian,Kaszëbsczi,5450,8756,187311,3,16041,18,0,0.6224,1.41.0-wmf.4,n/a,archive,200,119,8,2023-04-18 00:03:40 (~ 6 hrs ago)
206,mt,Maltese,Malti,5298,19795,289097,5,21323,45,724,0.2676,1.41.0-wmf.4,n/a,archive,200,95,8,2023-04-18 00:02:52 (~ 6 hrs ago)
207,gn,Guarani,Avañe'ẽ,5192,12311,124880,2,17487,29,0,0.4217,1.41.0-wmf.4,n/a,archive,200,90,8,2023-04-18 00:02:42 (~ 6 hrs ago)
208,smn,Inari Sami,Anarâškielâ,5068,16559,82977,7,3037,17,0,0.3061,1.41.0-wmf.4,n/a,archive,200,337,8,2023-04-18 00:00:07 (~ 6 hrs ago)
209,ay,Aymara,Aymar,5035,8646,95962,1,16001,18,0,0.5824,1.41.0-wmf.4,n/a,archive,200,67,8,2023-04-18 00:01:53 (~ 6 hrs ago)
210,nrm,Norman,Nouormand/Normaund,4841,10399,219564,2,12843,19,0,0.4655,1.41.0-wmf.4,n/a,archive,200,241,8,2023-04-18 00:10:43 (~ 5 hrs ago)
211,lez,Lezgian,Лезги чІал,4318,13646,91899,3,10283,18,10,0.3164,1.41.0-wmf.4,n/a,archive,200,301,8,2023-04-18 00:08:48 (~ 5 hrs ago)
212,lfn,Lingua Franca Nova 2,Lingua Franca Nova 2,4196,6709,38735,1,10503,24,0,0.6254,1.41.0-wmf.4,n/a,archive,200,321,8,2023-04-18 00:08:15 (~ 5 hrs ago)
213,olo,Livvi-Karelian,livvin kieli,4108,11408,33670,2,6469,10,0,0.3601,1.41.0-wmf.4,n/a,archive,200,316,8,2023-04-18 00:08:25 (~ 5 hrs ago)
214,stq,Saterland Frisian,Seeltersk,4096,10755,122027,5,12949,13,429,0.3808,1.41.0-wmf.4,n/a,archive,200,271,8,2023-04-18 00:09:41 (~ 5 hrs ago)
215,mwl,Mirandese,Mirandés,4030,10435,99607,1,12697,31,0,0.3862,1.41.0-wmf.4,n/a,archive,200,286,8,2023-04-18 00:09:17 (~ 5 hrs ago)
216,lo,Lao,ລາວ,3963,13126,100228,2,17032,22,0,0.3019,1.41.0-wmf.4,n/a,archive,200,182,8,2023-04-18 00:05:43 (~ 6 hrs ago)
217,ang,Anglo-Saxon,Englisc,3937,17053,208893,2,121155,49,299,0.2309,1.41.0-wmf.4,n/a,archive,200,29,8,2023-04-18 00:00:32 (~ 6 hrs ago)
218,fur,Friulian,Furlan,3841,8844,171756,2,13788,20,318,0.4343,1.41.0-wmf.4,n/a,archive,200,163,8,2023-04-18 00:05:06 (~ 6 hrs ago)
219,rm,Romansh,Rumantsch,3757,9622,163941,3,19342,20,51,0.3905,1.41.0-wmf.4,n/a,archive,200,131,8,2023-04-18 00:04:03 (~ 6 hrs ago)
220,lad,Ladino,Dzhudezmo,3625,12998,210760,4,20436,22,23,0.2789,1.41.0-wmf.4,n/a,archive,200,178,8,2023-04-18 00:05:35 (~ 6 hrs ago)
221,gom,Goan Konkani,गोंयची कोंकणी / Gõychi Konknni,3570,9271,207571,4,9208,21,0,0.3851,1.41.0-wmf.4,n/a,archive,200,307,8,2023-04-18 00:08:23 (~ 5 hrs ago)
222,koi,Komi-Permyak,Перем Коми (Perem Komi),3443,11497,60832,1,8247,17,0,0.2995,1.41.0-wmf.4,n/a,archive,200,294,8,2023-04-18 00:09:00 (~ 5 hrs ago)
223,ext,Extremaduran,Estremeñu,3433,8064,123716,2,16742,36,0,0.4257,1.41.0-wmf.4,n/a,archive,200,273,8,2023-04-18 00:09:51 (~ 5 hrs ago)
224,tyv,Tuvan,тыва дыл,3395,11741,44298,1,8593,19,0,0.2892,1.41.0-wmf.4,n/a,archive,200,305,8,2023-04-18 00:08:42 (~ 5 hrs ago)
225,dsb,Lower Sorbian,Dolnoserbski,3337,11235,143833,1,17864,23,0,0.297,1.41.0-wmf.4,n/a,archive,200,270,8,2023-04-18 00:09:43 (~ 5 hrs ago)
226,av,Avar,Авар,3335,15892,86714,2,14091,23,0,0.2099,1.41.0-wmf.4,n/a,archive,200,146,8,2023-04-18 00:04:32 (~ 6 hrs ago)
227,ln,Lingala,Lingala,3329,8713,122666,4,12505,24,32,0.3821,1.41.0-wmf.4,n/a,archive,200,126,8,2023-04-18 00:03:55 (~ 6 hrs ago)
228,dty,Doteli,डोटेली,3325,19750,238501,3,5977,18,3,0.1684,1.41.0-wmf.4,n/a,archive,200,317,8,2023-04-18 00:08:21 (~ 5 hrs ago)
229,kaa,Karakalpak,Qaraqalpaqsha,3244,8888,59074,5,11186,51,22,0.365,1.41.0-wmf.4,n/a,archive,200,277,8,2023-04-18 00:09:34 (~ 5 hrs ago)
230,pap,Papiamentu,Papiamentu,3154,6526,97803,5,14038,19,0,0.4833,1.41.0-wmf.4,n/a,archive,200,238,8,2023-04-18 00:10:50 (~ 5 hrs ago)
231,cbk-zam,Zamboanga Chavacano,Chavacano de Zamboanga,3128,8279,112476,1,13999,16,0,0.3778,1.41.0-wmf.4,n/a,archive,200,257,8,2023-04-18 00:10:10 (~ 5 hrs ago)
232,dv,Divehi,ދިވެހިބަސް,3025,11446,130706,4,24222,22,932,0.2643,1.41.0-wmf.4,n/a,archive,200,160,8,2023-04-18 00:04:59 (~ 6 hrs ago)
233,mdf,Moksha,Мокшень (Mokshanj Kälj),3012,14045,70026,3,8981,15,0,0.2145,1.41.0-wmf.4,n/a,archive,200,276,8,2023-04-18 00:09:36 (~ 5 hrs ago)
234,ksh,Ripuarian,Ripoarisch,2940,10584,1607365,3,22069,18,0,0.2778,1.41.0-wmf.4,n/a,archive,200,231,8,2023-04-18 00:07:00 (~ 5 hrs ago)
235,tw,Twi,Twi,2904,6180,107240,2,14756,48,0,0.4699,1.41.0-wmf.4,n/a,archive,200,139,8,2023-04-18 00:04:18 (~ 6 hrs ago)
236,ks,Kashmiri,कश्मीरी / كشميري,2864,10558,75800,2,10069,24,10,0.2713,1.41.0-wmf.4,n/a,archive,200,85,8,2023-04-18 00:02:31 (~ 6 hrs ago)
237,gag,Gagauz,Gagauz,2803,6608,68258,1,13406,16,0,0.4242,1.41.0-wmf.4,n/a,archive,200,295,8,2023-04-18 00:09:03 (~ 5 hrs ago)
238,bxr,Buryat (Russia),Буряад,2772,11081,70414,1,14576,23,9,0.2502,1.41.0-wmf.4,n/a,archive,200,248,8,2023-04-18 00:10:29 (~ 5 hrs ago)
239,pfl,Palatinate German,Pfälzisch,2741,6927,90344,4,11279,16,0,0.3957,1.41.0-wmf.4,n/a,archive,200,296,8,2023-04-18 00:09:05 (~ 5 hrs ago)
240,lg,Luganda,Luganda,2689,6725,29999,2,7822,17,0,0.3999,1.41.0-wmf.4,n/a,archive,200,179,8,2023-04-18 00:05:37 (~ 6 hrs ago)
241,za,Zhuang,Cuengh,2568,4925,40752,2,10213,16,0,0.5214,1.41.0-wmf.4,n/a,archive,200,213,8,2023-04-18 00:06:42 (~ 5 hrs ago)
242,pi,Pali,पाऴि,2548,4655,101941,2,6971,10,1,0.5474,1.41.0-wmf.4,n/a,archive,200,192,8,2023-04-18 00:06:00 (~ 6 hrs ago)
243,pag,Pangasinan,Pangasinan,2503,6499,75955,2,7917,18,0,0.3851,1.41.0-wmf.4,n/a,archive,200,251,8,2023-04-18 00:10:22 (~ 5 hrs ago)
244,szy,Sakizaya,Sakizaya,2502,5512,130938,1,2616,9,0,0.4539,1.41.0-wmf.4,n/a,archive,200,331,8,2023-04-18 00:07:07 (~ 5 hrs ago)
245,haw,Hawaiian,Hawai`i,2499,5610,97142,1,16038,38,0,0.4455,1.41.0-wmf.4,n/a,archive,200,166,8,2023-04-18 00:05:12 (~ 6 hrs ago)
246,awa,Awadhi,ქართული,2436,5365,24284,1,2354,10,0,0.4541,1.41.0-wmf.4,n/a,archive,200,333,8,2023-04-18 00:00:16 (~ 6 hrs ago)
247,tay,Atayal,Tayal,2421,2880,54666,1,1403,11,0,0.8406,1.41.0-wmf.4,n/a,archive,200,344,8,2023-04-18 00:11:15 (~ 5 hrs ago)
248,blk,Pa'O,ပအိုဝ်ႏဘာႏသာႏ,2304,5387,25572,3,786,12,0,0.4277,1.41.0-wmf.4,n/a,archive,200,352,8,2023-04-18 00:00:01 (~ 6 hrs ago)
249,inh,Ingush,ГӀалгӀай,2167,13130,61639,2,3765,8,41,0.165,1.41.0-wmf.4,n/a,archive,200,322,8,2023-04-18 00:08:12 (~ 5 hrs ago)
250,krc,Karachay-Balkar,Къарачай-Малкъар (Qarachay-Malqar),2075,14360,106985,1,10069,16,0,0.1445,1.41.0-wmf.4,n/a,archive,200,289,8,2023-04-18 00:05:47 (~ 6 hrs ago)
251,xal,Kalmyk,Хальмг,2048,12117,88420,1,9732,12,0,0.169,1.41.0-wmf.4,n/a,archive,200,237,8,2023-04-18 00:10:52 (~ 5 hrs ago)
252,pdc,Pennsylvania German,Deitsch,2003,5916,105558,1,31742,28,0,0.3386,1.41.0-wmf.4,n/a,archive,200,232,8,2023-04-18 00:07:02 (~ 5 hrs ago)
253,to,Tongan,faka Tonga,1957,5408,42556,2,9853,14,12,0.3619,1.41.0-wmf.4,n/a,archive,200,204,8,2023-04-18 00:06:25 (~ 5 hrs ago)
254,atj,Atikamekw,Atikamekw Nehiromowin,1950,3071,15078,5,4072,6,0,0.635,1.41.0-wmf.4,n/a,archive,200,318,8,2023-04-18 00:08:19 (~ 5 hrs ago)
255,arc,Aramaic,ܐܪܡܝܐ,1886,6490,95689,2,19577,14,0,0.2906,1.41.0-wmf.4,n/a,archive,200,145,8,2023-04-18 00:04:30 (~ 6 hrs ago)
256,tcy,Tulu,ತುಳು ಭಾಷೆ,1872,9921,109097,3,5369,20,9,0.1887,1.41.0-wmf.4,n/a,archive,200,312,8,2023-04-18 00:08:29 (~ 5 hrs ago)
257,mnw,Mon,ဘာသာ မန်,1775,6225,39721,3,3124,21,0,0.2851,1.41.0-wmf.4,n/a,archive,200,329,8,2023-04-18 00:07:19 (~ 5 hrs ago)
258,jam,Jamaican,Patois,1703,3055,21047,1,7912,12,0,0.5574,1.41.0-wmf.4,n/a,archive,200,311,8,2023-04-18 00:08:31 (~ 5 hrs ago)
259,kbp,Kabiye,Kabɩyɛ,1697,3372,16256,2,4203,7,0,0.5033,1.41.0-wmf.4,n/a,archive,200,319,8,2023-04-18 00:07:55 (~ 5 hrs ago)
260,na,Nauruan,dorerin Naoero,1670,4900,89890,1,12045,17,4,0.3408,1.41.0-wmf.4,n/a,archive,200,79,8,2023-04-18 00:02:19 (~ 6 hrs ago)
261,wo,Wolof,Wolof,1653,5381,104839,3,14562,20,0,0.3072,1.41.0-wmf.4,n/a,archive,200,140,8,2023-04-18 00:04:20 (~ 6 hrs ago)
262,kbd,Kabardian Circassian,Адыгэбзэ (Adighabze),1598,6883,45800,1,9528,10,0,0.2322,1.41.0-wmf.4,n/a,archive,200,299,8,2023-04-18 00:08:52 (~ 5 hrs ago)
263,nia,Nias,Li Niha,1570,3806,20059,3,1494,10,0,0.4125,1.41.0-wmf.4,n/a,archive,200,341,8,2023-04-18 00:11:08 (~ 5 hrs ago)
264,nov,Novial,Novial,1530,4429,178264,2,11317,17,0,0.3455,1.41.0-wmf.4,n/a,archive,200,250,8,2023-04-18 00:10:25 (~ 5 hrs ago)
265,shi,Tachelhit,Taclhit,1524,4387,41257,2,2067,17,0,0.3474,1.41.0-wmf.4,n/a,archive,200,347,8,2023-04-18 00:11:23 (~ 5 hrs ago)
266,ki,Kikuyu,Gĩkũyũ,1505,3089,20898,1,8447,13,0,0.4872,1.41.0-wmf.4,n/a,archive,200,175,8,2023-04-18 00:05:29 (~ 6 hrs ago)
267,nqo,N'Ko,ߒߞߏ,1465,3188,11198,2,3404,10,0,0.4595,1.41.0-wmf.4,n/a,archive,200,327,8,2023-04-18 00:07:59 (~ 5 hrs ago)
268,anp,Angika,अंगिका,1431,4312,17716,2,341,28,0,0.3319,1.41.0-wmf.4,n/a,archive,200,356,8,2023-04-18 00:11:36 (~ 5 hrs ago)
269,bi,Bislama,Bislama,1409,3332,42455,2,12675,19,0,0.4229,1.41.0-wmf.4,n/a,archive,200,148,8,2023-04-18 00:04:36 (~ 6 hrs ago)
270,tpi,Tok Pisin,Tok Pisin,1359,5695,87004,1,12949,16,0,0.2386,1.41.0-wmf.4,n/a,archive,200,84,8,2023-04-18 00:02:29 (~ 6 hrs ago)
271,tet,Tetum,Tetun,1349,3803,67414,2,9314,18,0,0.3547,1.41.0-wmf.4,n/a,archive,200,236,8,2023-04-18 00:10:54 (~ 5 hrs ago)
